"source_path","target_path","asset_type","category","ppu","pivot","atlas_group","addressable_key","owner_system","migration_status"
"python/assets/buildings/combat/ChatGPT Image Apr 3, 2025, 05_12_38 AM.png","Assets/_Project/Art/Buildings/combat/ChatGPT Image Apr 3, 2025, 05_12_38 AM.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/combat/coliseo.png","Assets/_Project/Art/Buildings/combat/coliseo.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/combat/coliseo_2.png","Assets/_Project/Art/Buildings/combat/coliseo_2.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/combat/training.png","Assets/_Project/Art/Buildings/combat/training.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/corrupto/craneo_muzgo.png","Assets/_Project/Art/Buildings/forest_decoration/corrupto/craneo_muzgo.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/corrupto/flor_carnivora.png","Assets/_Project/Art/Buildings/forest_decoration/corrupto/flor_carnivora.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/corrupto/hojas_marchitas.png","Assets/_Project/Art/Buildings/forest_decoration/corrupto/hojas_marchitas.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/corrupto/hongos_liminiscentes_venenosos.png","Assets/_Project/Art/Buildings/forest_decoration/corrupto/hongos_liminiscentes_venenosos.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/corrupto/monton_ramas_afiladas.png","Assets/_Project/Art/Buildings/forest_decoration/corrupto/monton_ramas_afiladas.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/corrupto/piedra_runica_musgosa.png","Assets/_Project/Art/Buildings/forest_decoration/corrupto/piedra_runica_musgosa.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/corrupto/pozo_savia_corrupta.png","Assets/_Project/Art/Buildings/forest_decoration/corrupto/pozo_savia_corrupta.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/corrupto/raiz_retorcida.png","Assets/_Project/Art/Buildings/forest_decoration/corrupto/raiz_retorcida.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/corrupto/semilla_reventada.png","Assets/_Project/Art/Buildings/forest_decoration/corrupto/semilla_reventada.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/corrupto/totem_podrido.png","Assets/_Project/Art/Buildings/forest_decoration/corrupto/totem_podrido.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/natural/champinones_agrupados_marrones.png","Assets/_Project/Art/Buildings/forest_decoration/natural/champinones_agrupados_marrones.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/natural/Flor_silvestre_azul.png","Assets/_Project/Art/Buildings/forest_decoration/natural/Flor_silvestre_azul.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/natural/hojas_frescas.png","Assets/_Project/Art/Buildings/forest_decoration/natural/hojas_frescas.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/natural/mariposa rama caida.png","Assets/_Project/Art/Buildings/forest_decoration/natural/mariposa rama caida.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/natural/nido_huevos.png","Assets/_Project/Art/Buildings/forest_decoration/natural/nido_huevos.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/natural/petalos_rosados_1.png","Assets/_Project/Art/Buildings/forest_decoration/natural/petalos_rosados_1.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/natural/petalos_rosados_2.png","Assets/_Project/Art/Buildings/forest_decoration/natural/petalos_rosados_2.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/natural/petalos_rosados_3.png","Assets/_Project/Art/Buildings/forest_decoration/natural/petalos_rosados_3.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/natural/piedras_musgo.png","Assets/_Project/Art/Buildings/forest_decoration/natural/piedras_musgo.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/natural/raiz_expuesta_suave.png","Assets/_Project/Art/Buildings/forest_decoration/natural/raiz_expuesta_suave.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/forest_decoration/natural/seta_blanca.png","Assets/_Project/Art/Buildings/forest_decoration/natural/seta_blanca.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/ChatGPT Image Sep 17, 2025, 12_27_43 AM.png","Assets/_Project/Art/Buildings/gardens/ChatGPT Image Sep 17, 2025, 12_27_43 AM.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/flowers_1.PNG","Assets/_Project/Art/Buildings/gardens/flowers_1.PNG","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/flowers_2.PNG","Assets/_Project/Art/Buildings/gardens/flowers_2.PNG","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/flowers_3.PNG","Assets/_Project/Art/Buildings/gardens/flowers_3.PNG","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/flowers_4.PNG","Assets/_Project/Art/Buildings/gardens/flowers_4.PNG","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/flowers_5.PNG","Assets/_Project/Art/Buildings/gardens/flowers_5.PNG","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/flowers_6.PNG","Assets/_Project/Art/Buildings/gardens/flowers_6.PNG","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/flowers_7.PNG","Assets/_Project/Art/Buildings/gardens/flowers_7.PNG","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/flowers_8.PNG","Assets/_Project/Art/Buildings/gardens/flowers_8.PNG","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/flowers_9.PNG","Assets/_Project/Art/Buildings/gardens/flowers_9.PNG","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/garden_1.png","Assets/_Project/Art/Buildings/gardens/garden_1.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/garden_2.png","Assets/_Project/Art/Buildings/gardens/garden_2.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/garden_3.png","Assets/_Project/Art/Buildings/gardens/garden_3.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/garden_4.png","Assets/_Project/Art/Buildings/gardens/garden_4.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/gardens/garden_5.png","Assets/_Project/Art/Buildings/gardens/garden_5.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/houses/curse_house_iso.png","Assets/_Project/Art/Buildings/houses/curse_house_iso.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/houses/curse_house_topdown.png","Assets/_Project/Art/Buildings/houses/curse_house_topdown.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/houses/orden_house_2.png","Assets/_Project/Art/Buildings/houses/orden_house_2.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/others/fuente.png","Assets/_Project/Art/Buildings/others/fuente.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/others/guillotina.png","Assets/_Project/Art/Buildings/others/guillotina.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/others/Portal wow.png","Assets/_Project/Art/Buildings/others/Portal wow.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/portals/ChatGPT Image Sep 11, 2025, 10_25_29 PM.png","Assets/_Project/Art/Buildings/portals/ChatGPT Image Sep 11, 2025, 10_25_29 PM.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/portals/ChatGPT Image Sep 11, 2025, 10_27_21 PM.png","Assets/_Project/Art/Buildings/portals/ChatGPT Image Sep 11, 2025, 10_27_21 PM.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/portals/ChatGPT Image Sep 11, 2025, 10_29_09 PM.png","Assets/_Project/Art/Buildings/portals/ChatGPT Image Sep 11, 2025, 10_29_09 PM.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/portals/ChatGPT Image Sep 11, 2025, 10_30_45 PM.png","Assets/_Project/Art/Buildings/portals/ChatGPT Image Sep 11, 2025, 10_30_45 PM.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/portals/portal.png","Assets/_Project/Art/Buildings/portals/portal.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/portals/portal_2.png","Assets/_Project/Art/Buildings/portals/portal_2.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/portals/portal_dudgeon_1.png","Assets/_Project/Art/Buildings/portals/portal_dudgeon_1.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/portals/portal_dudgeon_2.png","Assets/_Project/Art/Buildings/portals/portal_dudgeon_2.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/shops/alchemy_tower.png","Assets/_Project/Art/Buildings/shops/alchemy_tower.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/shops/banco.png","Assets/_Project/Art/Buildings/shops/banco.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/shops/blacksmith.png","Assets/_Project/Art/Buildings/shops/blacksmith.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/shops/ChatGPT Image Apr 3, 2025, 05_11_07 AM.png","Assets/_Project/Art/Buildings/shops/ChatGPT Image Apr 3, 2025, 05_11_07 AM.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/shops/ChatGPT Image Apr 3, 2025, 05_11_17 AM.png","Assets/_Project/Art/Buildings/shops/ChatGPT Image Apr 3, 2025, 05_11_17 AM.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/shops/ChatGPT Image Apr 3, 2025, 05_11_32 AM.png","Assets/_Project/Art/Buildings/shops/ChatGPT Image Apr 3, 2025, 05_11_32 AM.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/shops/healer.png","Assets/_Project/Art/Buildings/shops/healer.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
"python/assets/buildings/shops/healer_1.png","Assets/_Project/Art/Buildings/shops/healer_1.png","Sprite","building","16","0.5;0","Atlas_Buildings","","BuildingSystem","pending"
